filename,ground_truth,prediction,confidence,correct
2021_0818_121908_066B-doNotEnter-start10545.MOV_image9,doNotEnter,doNotEnter,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image0,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image1,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image10,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image11,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image12,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image13,pedestrianCrossing,yield,0.9,False
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image2,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image3,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image4,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image5,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image6,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image7,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image8,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-pedestrianCrossing-start0.MOV_image9,pedestrianCrossing,pedestrianCrossing,0.9,True
2021_0818_121908_066B-stop-start495.MOV_image0,stop,stop,0.99,True
2021_0818_121908_066B-stop-start495.MOV_image1,stop,stop,0.9,True
2021_0818_121908_066B-stop-start495.MOV_image2,stop,stop,0.9,True
2021_0818_121908_066B-stop-start495.MOV_image3,stop,stop,0.9,True
2021_0818_121908_066B-stop-start495.MOV_image4,stop,stop,0.9,True
2021_0818_121908_066B-stop-start495.MOV_image5,stop,stop,0.9,True
2021_0818_121908_066B-stop-start495.MOV_image6,stop,stop,0.9,True
2021_0818_121908_066B-stop-start495.MOV_image7,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image0,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image1,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image10,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1550.MOV_image11,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1550.MOV_image12,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image13,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image14,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1550.MOV_image15,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1550.MOV_image16,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1550.MOV_image17,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image2,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image3,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image4,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image5,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image6,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1550.MOV_image7,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1550.MOV_image8,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1550.MOV_image9,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1995.MOV_image0,stop,stop,0.9,True
2021_0819_085433_069A-stop-start1995.MOV_image1,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1995.MOV_image2,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1995.MOV_image3,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1995.MOV_image4,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1995.MOV_image5,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1995.MOV_image6,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1995.MOV_image7,stop,stop,0.99,True
2021_0819_085433_069A-stop-start1995.MOV_image8,stop,stop,0.9,True
2021_0819_091643_072B-stop-start1820.MOV_image0,stop,stop,0.9,True
2021_0819_091643_072B-stop-start1820.MOV_image1,stop,stop,0.9,True
2021_0819_091643_072B-stop-start1820.MOV_image2,stop,stop,0.9,True
2021_0819_091643_072B-stop-start1820.MOV_image3,stop,stop,0.9,True
2021_0819_091643_072B-stop-start1820.MOV_image4,stop,stop,0.9,True
2021_0819_092103_074B-doNotEnter-start8665.MOV_image0,doNotEnter,doNotEnter,0.9,True
2021_0819_092103_074B-doNotEnter-start8665.MOV_image1,doNotEnter,doNotEnter,0.9,True
2021_0819_092103_074B-doNotEnter-start8665.MOV_image2,doNotEnter,doNotEnter,0.9,True
2021_0819_092103_074B-doNotEnter-start8665.MOV_image3,doNotEnter,doNotEnter,0.9,True
2021_0819_092103_074B-doNotEnter-start8665.MOV_image4,doNotEnter,noTurn,0.9,False
2021_0819_092103_074B-doNotEnter-start8665.MOV_image5,doNotEnter,doNotEnter,0.9,True
2021_0819_092103_074B-doNotEnter-start8665.MOV_image6,doNotEnter,doNotEnter,0.9,True
2021_0819_092103_074B-doNotEnter-start8665.MOV_image7,doNotEnter,doNotEnter,0.9,True
2021_0819_092103_074B-doNotEnter-start8665.MOV_image8,doNotEnter,doNotEnter,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image0,stop,stop,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image1,stop,stop,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image10,stop,stop,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image2,stop,stop,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image3,stop,stop,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image4,stop,stop,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image5,stop,stop,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image6,stop,doNotEnter,0.9,False
2021_0819_092103_074B-stop-start9050.MOV_image7,stop,stop,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image8,stop,stop,0.9,True
2021_0819_092103_074B-stop-start9050.MOV_image9,stop,stop,0.9,True
2021_0819_093026_075A-stop-start3036.MOV_image0,stop,stop,0.9,True
2021_0819_093026_075A-stop-start3036.MOV_image1,stop,stop,0.9,True
2021_0819_093026_075A-stop-start3036.MOV_image2,stop,stop,0.9,True
2021_0819_093026_075A-stop-start3036.MOV_image3,stop,stop,0.99,True
2021_0819_093026_075A-stop-start3036.MOV_image4,stop,stop,0.9,True
2021_0819_093026_075A-stop-start3036.MOV_image5,stop,stop,0.9,True
2021_0819_101027_083A-curveRight-start4715.MOV_image0,curveRightOnly,speedLimit70,0.9,False
2021_0819_101027_083A-curveRight-start4715.MOV_image1,curveRightOnly,speedLimit70,0.9,False
2021_0819_101027_083A-curveRight-start4715.MOV_image10,curveRightOnly,noTurn,0.9,False
2021_0819_101027_083A-curveRight-start4715.MOV_image2,curveRightOnly,noTurn,0.9,False
2021_0819_101027_083A-curveRight-start4715.MOV_image3,curveRightOnly,noTurn,0.9,False
2021_0819_101027_083A-curveRight-start4715.MOV_image4,curveRightOnly,speedLimit45,0.9,False
2021_0819_101027_083A-curveRight-start4715.MOV_image5,curveRightOnly,speedLimit60,0.9,False
2021_0819_101027_083A-curveRight-start4715.MOV_image6,curveRightOnly,none,1.0,False
2021_0819_101027_083A-curveRight-start4715.MOV_image7,curveRightOnly,speedLimit65,0.9,False
2021_0819_101027_083A-curveRight-start4715.MOV_image8,curveRightOnly,speedLimit60,0.9,False
2021_0819_101027_083A-curveRight-start4715.MOV_image9,curveRightOnly,speedLimit70,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image0,keepRight,pedestrianCrossing,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image1,keepRight,noTurnOnLeft,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image10,keepRight,speedLimit45,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image11,keepRight,speedLimit35,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image12,keepRight,speedLimit20,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image2,keepRight,yield,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image3,keepRight,yield,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image4,keepRight,speedLimit45,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image5,keepRight,speedLimit35,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image6,keepRight,speedLimit20,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image7,keepRight,noTurnOnLeft,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image8,keepRight,yield,0.9,False
2021_0819_101027_083A-keepRight-start585.MOV_image9,keepRight,yield,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image0,noRightTurn,speedLimit30,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image1,noRightTurn,speedLimit35,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image10,noRightTurn,noTurn,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image11,noRightTurn,noTurn,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image12,noRightTurn,speedLimit30,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image13,noRightTurn,speedLimit35,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image14,noRightTurn,speedLimit70,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image15,noRightTurn,noTurn,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image16,noRightTurn,noTurn,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image2,noRightTurn,speedLimit70,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image3,noRightTurn,noTurn,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image4,noRightTurn,noTurn,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image5,noRightTurn,speedLimit30,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image6,noRightTurn,speedLimit35,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image7,noRightTurn,speedLimit70,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image8,noRightTurn,noTurn,0.9,False
2021_0819_101027_083A-noRightTurn-start5815.MOV_image9,noRightTurn,noTurn,0.9,False
2021_0819_101027_083A-oneWay-start955.MOV_image0,oneWay,oneWay,0.9,True
2021_0819_101027_083A-oneWay-start955.MOV_image1,oneWay,oneWay,0.9,True
2021_0819_101027_083A-oneWay-start955.MOV_image2,oneWay,oneWay,0.9,True
2021_0819_101027_083A-oneWay-start955.MOV_image3,oneWay,oneWay,0.9,True
2021_0819_101027_083A-oneWay-start955.MOV_image4,oneWay,oneWay,0.9,True
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image0,pedestrianCrossing,speedLimit60,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image1,pedestrianCrossing,diamond-shapedWarningSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image10,pedestrianCrossing,doNotEnter,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image11,pedestrianCrossing,laneMerge,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image12,pedestrianCrossing,speedLimit45,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image13,pedestrianCrossing,doNotEnter,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image14,pedestrianCrossing,laneMergingAhead,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image15,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image16,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image17,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image18,pedestrianCrossing,diamondRoadSignWithArrow,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image19,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image2,pedestrianCrossing,diamondRoadworkAhead,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image20,pedestrianCrossing,oneWay,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image21,pedestrianCrossing,noTurn,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image22,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image23,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image24,pedestrianCrossing,intersectionAhead,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image25,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image26,pedestrianCrossing,diamondRoadworkAhead,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image27,pedestrianCrossing,diamondRoadworkAhead,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image28,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image29,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image3,pedestrianCrossing,diamond-shapedWarningSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image30,pedestrianCrossing,speedLimit35,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image31,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image32,pedestrianCrossing,laneEnds,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image33,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image34,pedestrianCrossing,diamondRoadworkAhead,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image35,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image36,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image37,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image38,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image39,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image4,pedestrianCrossing,diamond-shapedWarningSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image40,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image41,pedestrianCrossing,oneWay,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image5,pedestrianCrossing,speedLimit45,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image51,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image52,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image53,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image54,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image55,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image56,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image57,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image58,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image59,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image6,pedestrianCrossing,oneWay,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image60,pedestrianCrossing,diamondNoTurn,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image61,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image62,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image63,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image64,pedestrianCrossing,diamondYieldAhead,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image65,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image66,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image67,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image68,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image69,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image7,pedestrianCrossing,speedLimit30,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image70,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image71,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image72,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image73,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image74,pedestrianCrossing,diamondRoadworkAhead,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image75,pedestrianCrossing,diamond-shapedWarningSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image76,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image77,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image78,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image79,pedestrianCrossing,diamondRoadworkAhead,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image8,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image80,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image81,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image82,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image83,pedestrianCrossing,diamondRoadworkAhead,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image84,pedestrianCrossing,diamondRoadSignWithAnArrow,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image85,pedestrianCrossing,diamondRoadSign,0.8,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image86,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image87,pedestrianCrossing,noTurn,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image88,pedestrianCrossing,yield,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image89,pedestrianCrossing,speedLimit65,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image9,pedestrianCrossing,speedLimit45,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image90,pedestrianCrossing,speedLimit35,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image91,pedestrianCrossing,laneMerge,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image92,pedestrianCrossing,doNotEnter,0.9,False
2021_0819_101027_083A-pedestrianCrossing-start5095.MOV_image93,pedestrianCrossing,guideSign,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image0,roadworkAhead,doNotEnter,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image1,roadworkAhead,yield,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image10,roadworkAhead,doNotEnter,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image11,roadworkAhead,noTurnOnRed,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image12,roadworkAhead,doNotEnter,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image13,roadworkAhead,yield,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image14,roadworkAhead,yield,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image15,roadworkAhead,doNotEnter,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image16,roadworkAhead,doNotEnter,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image2,roadworkAhead,yield,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image3,roadworkAhead,doNotEnter,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image4,roadworkAhead,doNotEnter,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image5,roadworkAhead,stop,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image6,roadworkAhead,yield,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image7,roadworkAhead,stop,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image8,roadworkAhead,stop,0.9,False
2021_0819_101027_083A-roadworkAhead-start4320.MOV_image9,roadworkAhead,noTurnOnRed,0.9,False
2021_0819_101027_083A-speedLimit45-start1335.MOV_image0,speedLimit45,none,0.0,False
2021_0819_101027_083A-speedLimit45-start1335.MOV_image1,speedLimit45,none,1.0,False
2021_0819_101027_083A-speedLimit45-start1335.MOV_image2,speedLimit45,none,1.0,False
2021_0819_101027_083A-speedLimit45-start1335.MOV_image3,speedLimit45,none,1.0,False
2021_0819_101027_083A-speedLimit45-start2115.MOV_image0,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image1,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image10,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image11,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image2,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image3,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image4,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image5,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image6,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image7,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2115.MOV_image8,speedLimit45,speedLimit55,0.9,False
2021_0819_101027_083A-speedLimit45-start2115.MOV_image9,speedLimit45,speedLimit45,0.9,True
2021_0819_101027_083A-speedLimit45-start2660.MOV_image1,keepRight,yield,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image13,speedLimit45,yield,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image14,speedLimit45,speedLimit35,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image15,speedLimit45,yield,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image16,speedLimit45,yield,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image17,speedLimit45,speedLimit35,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image18,speedLimit45,yield,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image2,keepRight,yield,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image3,keepRight,speedLimit45,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image5,keepRight,yield,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image6,keepRight,yield,0.9,False
2021_0819_101027_083A-speedLimit45-start2660.MOV_image7,keepRight,speedLimit45,0.9,False
